 	 	SPACE
mit	mit	ADP
CREDIT	CREDIT	PROPN
SUISSE	SUISSE	PROPN
Fortschrittsbarometer	Fortschrittsbarometer	NOUN
Indiens	Indien	PROPN
Aufschwung	Aufschwung	NOUN
:	:	PUNCT
Gespräch	Gespräch	NOUN
mit	mit	ADP
Starökonom	Starökonom	NOUN
Jagdish	Jagdish	PROPN
Bhagwati	Bhagwati	PROPN
(	(	PUNCT
S.	S.	NOUN
30	30	NUM
)	)	PUNCT
Seit	seit	ADP
1895	1895	NUM
.	.	PUNCT
Das	der	DET
älteste	alt	ADJ
Bankmagazin	Bankmagazin	NOUN
der	der	DET
Welt	Welt	NOUN
.	.	PUNCT
Ausgabe	Ausgabe	NOUN
1/	1/	NUM
2020	2020	NUM
Fortschritt	fortschreiten	NOUN
Ideen	Idee	NOUN
und	und	CONJ
Lösungen	Lösung	NOUN
aus	aus	ADP
16	16	NUM
Ländern	Land	NOUN
.	.	PUNCT
Ein	Ein	DET
Interviewheft	Interviewheft	NOUN
.	.	PUNCT
Bulletin 1 /2020	Bulletin	NOUN
999	999	NUM
 	 	SPACE
Editorial	Editorial	NOUN
Was	Was	PRON
die	der	DET
Welt	Welt	NOUN
voranbringt	voranbringen	VERB
12341	12341	NUM
Christina	Christina	PROPN
Schott	Schott	NOUN
und	und	CONJ
2	2	NUM
Muhammad	Muhammad	PROPN
Fadli	Fadli	NOUN
Christina	Christina	PROPN
Schott	Schott	NOUN
lebt	leben	VERB
seit	seit	ADP
2002	2002	NUM
als	als	ADP
freie	freie	ADJ
Journalistin	Journalistin	NOUN
und	und	CONJ
Buchautorin	Buchautorin	NOUN
in	in	ADP
Jogjakarta	Jogjakarta	PROPN
,	,	PUNCT
Indonesien	Indonesien	PROPN
.	.	PUNCT
Sie	ich	PRON
arbeitet	arbeiten	VERB
unter	unter	ADP
anderem	ander	PRON
für	für	ADP
'	'	PUNCT
FAZ	FAZ	PROPN
'	'	PUNCT
,	,	PUNCT
'	'	PUNCT
Zeit	Zeit	NOUN
'	'	PUNCT
und	und	CONJ
'	'	PUNCT
Stern	Stern	NOUN
'	'	PUNCT
.	.	PUNCT
Der	der	DET
preisgekrönte	preisgekrönt	ADJ
Fotograf	Fotograf	NOUN
Muhammad	Muhammad	PROPN
Fadli	Fadli	NOUN
lebt	leben	VERB
in	in	ADP
